id,Company,Country,Industry,Sales (M),Profits (M),Assets (M),Market Value (M),Employee
1913,National Commercial Bank,Saudi Arabia,Regional Banks,5300,2400,120900,22400,-
1914,National Grid,United Kingdom,Electric Utilities,24200,3300,83300,51400,-
1915,National Oilwell Varco,United States,Oil Services & Equipment,14700,-769,26700,11000,-
1916,Nationstar Mortgage Holdings,U.S.,Diversified Financials,2339,39 ,16654,1070,6740
1917,Nationwide,U.S.,Insurance: Property and Casualty (Mutual),40222,581 ,185306,-,34032
1918,Natixis,France,Major Banks,14400,1500,543400,17200,-
1919,Naver,South Korea,Computer Services,2900,458,3700,19000,-
1920,Navient,United States,Regional Banks,5300,886,131400,4500,-
1921,Navistar International,U.S.,Motor Vehicles and Parts,10140,(184),6692,1022,13800
1922,NBTY,U.S.,Pharmaceuticals,3226,74 ,4868,-,13100
1923,nCino,United States,Banking,5 ,-,-,-,102
1924,NCR,U.S.,"Computers, Office Equipment",6373,(178),7635,3984,32600
1925,NEC,Japan,Electronics,23800,288,20800,6600,-
1926,Neiman Marcus Group,U.S.,Specialty Retailers: Apparel,5095,15 ,8876,-,15100
1927,Nelnet,United States,Consumer Financial Services,1200,265,30500,1800,-
1928,Neptune Orient Lines,Singapore,Other Transportation,5400,684,6900,2500,-
1929,Neste Oil,Finland,Oil & Gas Operations,12300,619,7400,8400,-
1930,Nestle,Switzerland,Food Processing,92200,9400,123900,235700,-
1931,Nestl√©,Switzerland,Food Consumer Products,92285,9423,123905,-,335000
1932,NetApp,United States,Computer Storage Devices,5700,372,8800,7000,-
1933,Netease,China,Computer Services,3600,1100,6300,17500,-
1934,Netflix,United States,Internet & Catalog Retail,7200,127,11300,41100,-
1935,New Balance,United States,Retailing,3700,-,-,-,5000
1936,New China Life Insurance,China,Life & Health Insurance,25200,1400,101800,16200,-
1937,New Hope Liuhe,China,Food Processing,10500,357,5600,5100,-
1938,New Jersey Resources,U.S.,Energy,2734,181 ,3339,3130,991
1939,New World Development,Hong Kong,Real Estate,8000,2100,52900,9400,-
1940,New York Community,United States,Thrifts & Mortgage Finance,1900,-39,48500,7400,-
1941,New York Life Insurance,U.S.,"Insurance: Life, Health (Mutual)",45891,257 ,271668,-,11463
1942,Newcrest Mining,Australia,Diversified Metals & Mining,3400,344,11300,10600,-
1943,Newegg.com,United States,Retailing,2600,-,-,-,2500
1944,Newell Brands,U.S.,"Home Equipment, Furnishings",5972,350 ,7278,11873,17200
1945,Newell Rubbermaid,United States,Household/Personal Care,5900,254,7300,21800,-
1946,NewMarket,U.S.,Chemicals,2141,239 ,1290,4696,1979
1947,Newmont Mining,United States,Diversified Metals & Mining,7800,89,24600,16600,-
1948,News Corp,United States,Broadcasting & Cable,8400,-117,14900,7500,-
1949,News Corp.,U.S.,"Publishing, Printing",8633,(147),15093,7412,25000
1950,Nexeo Solutions Holdings,U.S.,Wholesalers: Diversified,3949,20 ,1718,-,2450
1951,NEXON,Japan,Computer Services,1600,455,3500,6800,-
1952,Next,United Kingdom,Department Stores,6400,1000,3300,10800,-
1953,NextEra Energy,United States,Electric Utilities,15900,2800,82500,52800,-
1954,NGL Energy Partners,U.S.,Wholesalers: Diversified,16802,17 ,6548,805 ,3100
1955,NGL Fine-Chem,INDIA,-,15,2,-,22,-
1956,NH Investment & Securities,South Korea,Investment Services,1400,190,35600,2600,-
1957,Nidec,Japan,Electrical Equipment,9700,740,12100,21100,-
1958,Nielsen,United States,Printing & Publishing,6200,607,15300,18800,-
1959,Nien Made Enterprise,TAIWAN,-,530,83,-,2804,-
1960,NII Holdings,United States,Telecommunications services,1700,1100,2700,557,-
1961,Nike,United States,Apparel/Accessories,32000,3800,21000,100100,-
1962,Ningbo Port,China,Other Transportation,2600,406,7400,11800,-
1963,Nintendo,Japan,Real Estate,4400,189,11700,21700,-
1964,Nippon Express,Japan,Trucking,16000,243,12700,4800,-
1965,Nippon Life Insurance,Japan,"Insurance: Life, Health (Mutual)",67118,3361,628296,-,73578
1966,Nippon Steel & Sumitomo Metal,Japan,Iron & Steel,42500,1800,55500,21800,-
1967,Nippon Steel Trading,Japan,Diversified Metals & Mining,16500,143,5700,1100,-
1968,Nippon Telegraph & Tel,Japan,Telecommunications services,94200,5600,172500,94500,-
1969,Nippon Telegraph & Telephone,Japan,Telecommunications,96134,6145,187186,-,241450
1970,Nippon Yusen,Japan,Other Transportation,19700,347,20200,3700,-
1971,Nishi-Nippon City Bank,Japan,Regional Banks,1200,231,73700,1500,-
1972,NiSource,United States,Natural Gas Utilities,5200,287,17500,7100,-
1973,Nissan Motor,Japan,Auto & Truck Manufacturers,101000,4700,147400,42900,-
1974,Nitori Holdings,Japan,Specialty Stores,3800,389,3700,10800,-
1975,Nitro Circus,United States,Media,50 ,-,-,-,43
1976,Nitto Denko,Japan,Diversified Chemicals,6800,755,7200,10000,-
1977,NKSJ Holdings,Japan,Property & Casualty Insurance,26700,820,85400,11900,-
1978,NMDC,India,Diversified Metals & Mining,2000,1000,7100,6000,-
1979,NN Group,Netherlands,Life & Health Insurance,15300,1700,175900,11500,-
1980,Noah Holdings,CHINA / HONG KONG,-,327,83,-,1403,-
1981,Noble,Switzerland,Oil Services & Equipment,3400,500,12900,2800,-
1982,Noble Energy,United States,Oil & Gas Operations,3000,-2400,24700,15600,-
1983,Noble Group,Hong Kong,Conglomerates,66600,-1700,17200,2200,-
1984,Nokia,Finland,Communications Equipment,14500,2700,23000,34600,-
1985,Nomos Bank,Russia,Regional Banks,4900,206,46100,3100,-
1986,Nordea Bank,Sweden,Regional Banks,16100,4100,702900,39900,-
1987,Nordstrom,United States,Apparel/Footwear Retail,14400,600,7700,8900,-
1988,Norfolk Southern,United States,Railroads,10400,1600,33800,27100,-
1989,Noribachi,United States,Technology Hardware & Equip,23 ,-,-,-,55
1990,Norilsk Nickel,Russia,Diversified Metals & Mining,8500,1700,13400,23200,-
1991,Norsk Hydro,Norway,Aluminum,10900,250,13800,8500,-
1992,Nortek,U.S.,Industrial Machinery,2526,(27),2144,792 ,11400
1993,North Pacific Bank,Japan,Regional Banks,1000,128,69500,1100,-
1994,Northern Star Resources,AUSTRALIA,-,704,77,-,2388,-
1995,Northern Tier Energy,U.S.,Petroleum Refining,3002,331 ,1137,2194,2961
1996,Northern Trust,United States,Regional Banks,4900,969,117800,16600,-
1997,Northrop Grumman,United States,Aerospace & Defense,23500,2000,24500,36400,-
1998,Northwestern Mutual,U.S.,"Insurance: Life, Health (Mutual)",28111,815 ,238472,-,5530
1999,Novartis,Switzerland,Pharmaceuticals,49400,17600,131900,203800,-
2000,Novatek,Russia,Oil & Gas Operations,7800,1200,12100,27800,-
2001,Novo Nordisk,Denmark,Pharmaceuticals,16000,5200,13400,144900,-
2002,Novolipetsk Steel,Russia,Iron & Steel,8000,980,8900,8300,-
2003,Novozymes,Denmark,Biotechs,2100,423,2700,14400,-
2004,NRG Energy,United States,Electric Utilities,15000,-6400,32900,4500,-
2005,NSK,Japan,Other Industrial Equipment,8200,566,9300,5200,-
2006,NTPC,India,Electric Utilities,13300,1600,37100,17700,-
2007,Nu Skin Enterprises,U.S.,Household and Personal Products,2247,133 ,1506,2142,26800
2008,Nucor,United States,Iron & Steel,15800,360,14400,15800,-
2009,Nui Nho Stone,VIETNAM,-,23,5,-,59,-
2010,N®πrnberger,Germany,Diversified Insurance,5400,80,32200,831,-
2011,NuStar Energy,U.S.,Pipelines,2084,307 ,5149,3147,1644
2012,NVIDIA,United States,Semiconductors,5000,613,7400,19800,-
2013,NVR,U.S.,Homebuilders,5170,383 ,2515,6724,4300
2014,"NVR,",United States,Construction Services,5200,383,2500,6600,-
2015,NXP Semiconductors,Netherlands,Semiconductors,6100,1500,26400,29200,-
2016,Obayashi,Japan,Construction Services,14900,455,16900,7200,-
2017,Occidental Petroleum,United States,Oil & Gas Operations,12600,-7800,43400,57900,-
2018,Oceaneering International,U.S.,"Oil and Gas Equipment, Services",3063,231 ,3430,3253,11000
2019,Oceanwide Holdings,China,Construction Services,1800,321,18200,8000,-
2020,Office Depot,United States,Specialty Stores,14500,8,6400,3400,-
2021,Ogaki Kyoritsu Bank,Japan,Regional Banks,957,138,44900,1100,-
2022,OGE Energy,U.S.,Utilities: Gas and Electric,2197,271 ,9597,5718,2586
2023,Oi,Brazil,Telecommunications services,8200,-1500,24500,179,-
2024,Oil & Gas Development,Pakistan,Oil & Gas Operations,1700,717,5500,4900,-
2025,Oil & Natural Gas,India,Oil & Gas Operations,26100,3000,57300,27800,-
2026,Oji Holdings,Japan,Paper & Paper Products,11800,235,17300,4600,-
2027,Olam International,Singapore,Food Processing,13900,-47,14700,3500,-
2028,Old Dominion Freight Line,U.S.,"Trucking, Truck Leasing",2972,305 ,2467,5836,17931
2029,Old Mutual,United Kingdom,Investment Services,18000,970,192900,13700,-
2030,Old Republic International,United States,Property & Casualty Insurance,5800,422,17400,4800,-
2031,Olin,U.S.,Chemicals,2854,(1),9322,2868,6200
2032,Olympus,Japan,Consumer Electronics,6700,18,9000,14000,-
2033,Omnicom Group,United States,advertising,15200,1100,22100,20000,-
2034,OMRON,Japan,Electronics,7000,386,5700,6900,-
2035,OMV Group,Austria,Oil & Gas Operations,25000,-1200,37600,9600,-
2036,ON Semiconductor,U.S.,Semiconductors and Other Electronic Components,3496,206 ,3870,3952,24500
2037,O'Neal Industries,United States,Capital Goods,2400,-,-,-,3500
2038,OneMain Holdings,U.S.,Diversified Financials,2192,(242),21056,3696,11400
2039,Oneok,United States,Oil Services & Equipment,7700,245,15400,7500,-
2040,OneSource Virtual,United States,Business Services & Supplies,63 ,-,-,-,491
2041,Onex,Canada,Investment Services,21000,-942,35800,6400,-
2042,ONO Pharmaceutical,Japan,Pharmaceuticals,1200,136,4400,27400,-
2043,Ooredoo Telecom,Qatar,Telecommunications services,8800,582,25900,8000,-
2044,Oracle,United States,Software & Programming,37200,8800,104900,168900,-
2045,Orange,France,Telecommunications services,44600,2700,100900,44500,-
2046,Orbital ATK,U.S.,Aerospace and Defense,4369,159 ,5354,5098,12300
2047,O'Reilly Automotive,United States,Specialty Stores,8000,931,6900,26200,-
2048,Orient,Japan,Consumer Financial Services,1700,169,41900,3600,-
2049,Orient Securities,China,Investment Services,3200,1200,32000,15100,-
2050,Oriental Bank of Commerce,India,Regional Banks,3400,-7,34600,476,-
2051,Oriental Land,Japan,Hotels & Motels,3900,616,6500,25700,-
2052,Origin Energy,Australia,Electric Utilities,7900,-666,21300,7300,-
2053,Orix,Japan,Consumer Financial Services,20000,2200,92000,19800,-
2054,Orkla,Norway,Conglomerates,4100,410,6100,8500,-
2055,Osaka Gas,Japan,Natural Gas Utilities,11700,851,15200,7900,-
2056,Oshkosh,U.S.,Motor Vehicles and Parts,6098,230 ,4613,2988,13300
2057,OSI Group,United States,"Food, Drink & Tobacco",6100,-,-,-,20000
2058,OTP Bank,Hungary,Regional Banks,4300,228,36800,7100,-
2059,Otsuka Holding,Japan,Pharmaceuticals,11900,694,21600,22200,-
2060,O®πReilly Automotive,U.S.,Specialty Retailers: Other,7967,931 ,6677,26553,54911
2061,Ourpalm,CHINA / HONG KONG,-,179,75,-,4648,-
2062,Outerwall,U.S.,Specialty Retailers: Other,2195,44 ,1366,615 ,2670
2063,Oversea-Chinese Banking,Singapore,Regional Banks,8700,2800,275100,28600,-
2064,Owens & Minor,U.S.,Wholesalers: Health Care,9773,103 ,2778,2540,8100
2065,Owens Corning,U.S.,"Building Materials, Glass",5350,330 ,7380,5480,15000
2066,Owens-Illinois,U.S.,"Packaging, Containers",6156,(74),9421,2569,27000
2067,Oxbow,United States,Utilities,3100,-,-,-,1300
2068,Paccar,United States,Heavy Equipment,19100,1600,21100,19900,-
2069,Pacific Construction Group,China,"Engineering, Construction",73047,3205,42798,-,351679
2070,Pacific Life,U.S.,"Insurance: Life, Health (stock)",8642,661 ,137279,-,3276
2071,Packaging Corp. of America,U.S.,"Packaging, Containers",5742,437 ,5285,5693,13000
2072,PacWest Bancorp,United States,Regional Banks,1000,314,21000,4900,-
2073,"Palo Alto Networks,",United States,Communications Equipment,1200,-193,2300,13100,-
2074,Panasonic,Japan,Consumer Electronics,63300,1600,48800,22900,-
2075,Panda Restaurant Group,United States,"Hotels, Restaurants & Leisure",2500,-,-,-,24000
2076,Pandora,Denmark,Household/Personal Care,2500,546,1900,14400,-
2077,Panera Bread,U.S.,Food Services,2682,149 ,1475,4993,37200
2078,Pang Da Automobile Trade,China,Specialty Stores,8600,38,10400,2900,-
2079,Pangea Properties,United States,Services,69 ,-,-,-,444
2080,Panjo,United States,Services,42 ,-,-,-,10
2081,Par Pacific Holdings,U.S.,Petroleum Refining,2066,(40),892 ,771 ,744
2082,Parexel International,U.S.,Health Care: Pharmacy and Other Services,2330,148 ,1865,3368,18660
2083,Parker-Hannifin,United States,Other Industrial Equipment,11900,843,11800,15400,-
2084,Partners Group Holding,Switzerland,Investment Services,843,411,1500,10700,-
2085,Party City Holdco,U.S.,Specialty Retailers: Other,2295,11 ,3292,1794,12888
2086,Patterson,U.S.,Wholesalers: Health Care,4375,223 ,2948,4611,7000
2087,PAX Global Technology,CHINA / HONG KONG,-,370,80,-,912,-
2088,Paychex,United States,Business & Personal Services,2900,740,7100,18800,-
2089,Payless Holdings,United States,Retailing,3000,-,-,-,25000
2090,PayPal,United States,Consumer Financial Services,9100,1300,28900,48900,-
2091,PayPal Holdings,U.S.,Financial Data Services,-,-,16800,B+,47195
2092,PBF Energy,United States,Oil & Gas Operations,13100,146,6100,3300,-
2093,PC Connection,U.S.,Specialty Retailers: Other,2574,47 ,639 ,684 ,2155
2094,Peabody Energy,U.S.,"Mining, Crude-Oil Production",5609,"(1,996)",11021,43 ,7600
2095,Pearson,United Kingdom,Printing & Publishing,6800,-477,17100,9800,-
2096,Pegatron,Taiwan,Electronics,38200,750,14500,5500,-
2097,Pembina Pipeline,Canada,Oil & Gas Operations,3600,317,9300,11200,-
2098,Pemex,Mexico,"Mining, Crude-Oil Production",73514,"(44,904)",102830,-,130447
2099,Penn Mutual Life Insurance,U.S.,"Insurance: Life, Health (stock)",2290,209 ,25959,-,1022
2100,Penn National Gaming,U.S.,"Hotels, Casinos, Resorts",2838,1 ,5139,1357,18204
2101,Penske Automotive,United States,Specialty Stores,19300,326,8000,3100,-
2102,Penske Automotive Group,U.S.,"Automotive Retailing, Services",19361,326 ,8023,3269,23000
2103,Pentair,United Kingdom,Other Industrial Equipment,6400,476,11900,10400,-
2104,People's Insurance Company,China,Property & Casualty Insurance,63200,3100,125800,18300,-
2105,People's United Financial,United States,Thrifts & Mortgage Finance,1400,263,39200,5000,-
2106,People®πs Insurance Co. of China,China,Insurance: Property and Casualty (Stock),64606,3110,129892,-,172213
2107,Pepco Holdings,U.S.,Utilities: Gas and Electric,5023,327 ,16326,-,5184
2108,PepsiCo,United States,Beverages,62700,5200,70000,147300,-
2109,Peptidream,JAPAN,-,22,9,-,2884,-
2110,Perdue,United States,"Food, Drink & Tobacco",6300,-,-,-,19000
2111,PerkinElmer,U.S.,"Scientific,Photographic and Control Equipment",2263,212 ,4166,5450,8000
2112,Permanent TSB Group,Ireland,Investment Services,828,-471,31900,1500,-
2113,Pernod Ricard,France,Beverages,9900,1100,34000,28700,-
2114,Perrigo,Ireland,Pharmaceuticals,5400,-33,19400,17400,-
2115,Persimmon,United Kingdom,Construction Services,4400,797,5600,8400,-
2116,Pertamina,Indonesia,Petroleum Refining,41763,1420,45519,-,27971
2117,Petco Animal Supplies,United States,Retailing,4000,-,-,-,28000
2118,Peter Kiewit Sons®π,U.S.,"Engineering, Construction",8992,251 ,6038,-,22000
2119,Petplan,United States,Insurance,69 ,-,-,-,140
2120,Petro Rabigh,Saudi Arabia,Diversified Chemicals,6800,-202,13700,3000,-
2121,Petrobras,Brazil,Oil & Gas Operations,96300,-10400,227500,42100,-
2122,PetroChina,China,Oil & Gas Operations,274600,5700,368700,203800,-
2123,Petroleum Traders Corporation,United States,Oil & Gas Operations,2100,-,-,-,140
2124,Petronas,Malaysia,Petroleum Refining,63466,3372,137974,-,53149
2125,Petronas Chemicals,Malaysia,Specialized Chemicals,3500,712,7400,13700,-
2126,Petronas Gas,Malaysia,Natural Gas Utilities,1100,508,3400,11200,-
2127,Petsmart,United States,Retailing,7000,-,-,-,53000
2128,Peugeot,France,Auto & Truck Manufacturers,60600,997,53800,12400,-
2129,Pfizer,United States,Pharmaceuticals,48900,7700,167500,205700,-
2130,PG&E,United States,Electric Utilities,16800,888,65800,28200,-
2131,PG&E Corp.,U.S.,Utilities: Gas and Electric,16833,874 ,63339,29432,23323
2132,PGE,Poland,Electric Utilities,7500,-804,15500,6400,-
2133,Pgnig Group,Poland,Oil & Gas Operations,9700,566,12600,8000,-
2134,Philip Morris International,United States,Tobacco,26200,6600,34600,150300,-
2135,Philips,Netherlands,Conglomerates,26900,715,33600,26300,-
2136,Phillips 66,United States,Oil & Gas Operations,85200,4200,48600,46300,-
2137,Phoenix Group Holdings,United Kingdom,Life & Health Insurance,1100,325,89300,2900,-
2138,Phoenix Pharmahandel,Germany,Wholesalers: Health Care,25642,224 ,8409,-,24842
2139,Phosagro,Russia,Specialized Chemicals,3100,595,3000,5700,-
2140,Phunware,United States,Business Services & Supplies,23 ,-,-,-,204
2141,Pilot Flying J,United States,Convenience Stores & Gas Stations,22900,-,-,-,24000
2142,Ping An Insurance,China,"Insurance: Life, Health (stock)",110308,8625,733824,-,275011
2143,Ping An Insurance Group,China,Diversified Insurance,98700,8700,732300,90000,-
2144,Pinnacle Entertainment,U.S.,"Hotels, Casinos, Resorts",2292,49 ,4531,2144,14726
2145,Pinnacle Foods,U.S.,Food Consumer Products,2656,213 ,5340,5211,4300
2146,Pinnacle West,United States,Electric Utilities,3500,437,15000,7900,-
2147,Pinnacle West Capital,U.S.,Utilities: Gas and Electric,3495,437 ,15028,8343,6407
2148,Pioneer Natural Resources,United States,Oil & Gas Operations,4000,-279,15200,25100,-
2149,Piraeus Bank,Greece,Regional Banks,3900,-2100,95100,2600,-
2150,PIRCH,United States,Retailing,113 ,-,-,-,419
2151,Pitney Bowes,U.S.,"Computers, Office Equipment",3578,408 ,6142,4085,14800
2152,Pixelberry Studios,United States,Media,8 ,-,-,-,40
2153,Pizza Studio,United States,"Food, Drink & Tobacco",11 ,-,-,-,704
2154,PK4 Media,United States,Media,14 ,-,-,-,31
2155,PKN Orlen,Poland,Oil & Gas Operations,23400,752,12200,7700,-
2156,PKN ORLEN Group,Poland,Petroleum Refining,23438,753 ,12195,-,19932
2157,PKO Bank Polski,Poland,Regional Banks,3800,692,67600,8200,-
2158,Plains GP Holdings,U.S.,Pipelines,23152,118 ,24142,-,5400
2159,Plastipak Holdings,United States,Materials,2900,-,-,-,6000
2160,PLDT,Philippines,Telecommunications services,3800,485,9700,8400,-
2161,Plexus,U.S.,Semiconductors and Other Electronic Components,2654,94 ,1702,1319,14000
